ChacoIsotopeDatabaseID,OriginalSampleID,OtherID,ModernArch?,IsotopeSystem(s),SampleType,TissueTType,TissueName,CollagenApatiteEnamel?,GenusOrder,Species,Group,CommonName,Description,SiteID,SanJuanBasin?,SiteNumber,Provenience,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,RadiocarbonLabNumber,DatePeriod,DateBeginning,DateMid,DateEnd,DateRange,CollectionDate,Source,OtherNotes,SamplePrepMethod,SampleWeight,Sr87Sr86_Standard,Sr87Sr86_NonEnamel_Value_Raw,Sr87Sr86_NonEnamel_SD_Raw,Sr87Sr86_NonEnamel_Value_Standardized,Sr87Sr86_Enamel_Value_Raw,Sr87Sr86_Enamel_SD_Raw,Sr87Sr86_Enamel_Value_Standardized,d13C_Collagen_Value_Raw,d13C_Collagen_Value_SeussCorrection,d13C_Collagen_Value_SeussCorrection_VegBaselineCorrection,d13C_Apatite_Value_Raw,d13C_Apatite_Value_SeussCorrection,d13C_Apatite_Value_SeussCorrection_VegBaselineCorrection,d13C_Enamel_Value_Raw,d13C_Enamel_Value_SeussCorrection,d13C_Enamel_Value_SeussCorrection_VegBaselineCorrection,d13C_Enamel_SD,d13C_Vegetation_Value_Raw,d13C_Vegetation_Value_SeussCorrection,d13C_Hair_Value_Raw,d13C_Hair_Value_SeussCorrection,d13C_Hair_Value_SeussCorrection_VegBaselineCorrection,d13C_WtPercentC,d13C_WtPercentN,d18OVPDB_Apatite_Value_Raw,d18OVPBD_Apatite_SD,d18OVPDB_Apatite_Value_PrepCorrection,d18OVPDB_Enamel_Value_Raw,d18OVPDB_Enamel_SD,d18OVPDB_Apatite_Value_PrepCorrection,d18OVSMOW_Water_Value_Raw,d18OVSMOW_Water_SD,d18O_Value_VPDBConverted,d15N_Collagen_Value_Raw,d15N_CNRatio,d15N_AtomicCNRatio,d15N_PercentN,d15N_CollagenYield,d15N_WeightPercentCollagen,dD_Water_Value_Raw,dD_Water_SD,Pb206Pb204_Dentin_Value_Raw,Pb206Pb204_Dentin_SE,Pb207Pb204_Dentin_Value_Raw,Pb207Pb204_Dentin_SE,Pb208Pb204_Dentin_Value_Raw,Pb208Pb204_Dentin_SE,Pb207Pb206_Dentin_Value_Raw,Pb207Pb206_Dentin_SE,Pb208Pb206_Dentin_Value_Raw,Pb208Pb206_Dentin_SE,Pb_Dentin_ng,Pb_Dentin_SampleWeight_g,Pb_Dentin_ppm,Pb206Pb204_Enamel_Value_Raw,Pb206Pb204_Enamel_SE,Pb207Pb204_Enamel_Value_Raw,Pb207Pb204_Enamel_SE,Pb208Pb204_Enamel_Value_Raw,Pb208Pb204_Enamel_SE,Pb207Pb206_Enamel_Value_Raw,Pb207Pb206_Enamel_SE,Pb208Pb206_Enamel_Value_Raw,Pb208Pb206_Enamel_SE,Pb_Enamel_ng,Pb_Enamel_SampleWeight_g,Pb_Enamel_ppm
CID_1831,10249-M3-3,10249-023,Archaeological,Sr,Fauna,Tooth,M3,Enamel,Ovis,,Bovidae (ruminant),Bighorn Sheep,"Ovis, M3 tooth, over 5 yrs ols",Five Finger Ridge,,,Activity Area 24,,,,,,,,,,,,,,,Fisher 2010,,,22.14,0.71024,,,,0.708528,,0.708578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1832,10249-M3-4,10249-023,Archaeological,Sr,Fauna,Tooth,M3,Enamel,Ovis,,Bovidae (ruminant),Bighorn Sheep,"Ovis, M3 tooth, over 5 yrs ols",Five Finger Ridge,,,Activity Area 24,,,,,,,,,,,,,,,Fisher 2010,,,22.17,0.71024,,,,0.708241,,0.708291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1833,10249-M3-5,10249-023,Archaeological,Sr,Fauna,Tooth,M3,Enamel,Ovis,,Bovidae (ruminant),Bighorn Sheep,"Ovis, M3 tooth, over 5 yrs ols",Five Finger Ridge,,,Activity Area 24,,,,,,,,,,,,,,,Fisher 2010,,,36.86,0.71024,,,,0.708319,,0.708369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1834,10249-M3-6,10249-023,Archaeological,Sr,Fauna,Tooth,M3,Enamel,Ovis,,Bovidae (ruminant),Bighorn Sheep,"Ovis, M3 tooth, over 5 yrs ols",Five Finger Ridge,,,Activity Area 24,,,,,,,,,,,,,,,Fisher 2010,,,47.85,0.71024,,,,0.707999,,0.708049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1835,10249-SED (acetic),10249-023,Archaeological,Sr,Fauna,Tooth,M3,Enamel,Ovis ,,Bovidae (ruminant),Sheep,"Ovis M3, over 5 years",Five Finger Ridge,,,Activity Area 24,,,,,,,,,,,,,,,Fisher 2010,,,210.03,0.71024,,,,0.708509,,0.708559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1836,10249-SED (HCl),10249-023,Archaeological,Sr,Fauna,Tooth,M3,Enamel,Ovis ,,Bovidae (ruminant),Sheep,"Ovis M3, over 5 years",Five Finger Ridge,,,Activity Area 24,,,,,,,,,,,,,,,Fisher 2010,,,210.03,0.71024,,,,0.708256,,0.708306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1837,4,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,234968,3986502,−107.3181300,35.98698555,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−1.5,,−1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1838,5,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,291011,3984998,−107.3183385,35.98705908,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−2.0,,−2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1839,8,,Modern,O,Fauna,Tooth,,Enamel,Odocoileus,,Deer (ruminant),Deer,Odocoileus sp.,Chaco Canyon,y,,,13S,251311,3988617,−107.7593170,36.01034219,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−6.3,,−6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1840,9,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,251310,3988618,−107.7593282,36.01034762,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1841,15,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,231734,3994843,−107.9784000,36.0612,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−7.2,,−7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1842,16,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,251307,3988622,−107.7593676,36.01038722,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−5.0,,−5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1843,18,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,251557,3988615,−107.7565962,36.01038806,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−0.9,,−0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1844,19,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,251557,3988616,−107.7565991,36.01039137,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−6.1,,−6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1845,20,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,239393,3995339,−107.8936220,36.0677517,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−7.9,,−7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1846,21,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,239393,3995339,−107.8936221,36.06775227,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1847,44,,Modern,O,Fauna,Tooth,,Enamel,Cervus,elaphus,Deer (ruminant),Red Deer,Cervus elaphus,Chaco Canyon,y,,,13S,236179,3993473,−107.9286498,36.05008379,,,,,,,,,,"Hamilton et al. 2017, Table 4",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1848,1,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,233156,3994793,−107.962605,36.061149,"1,880.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1849,2,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,232314,3995957,−107.972336,36.071398,"1,889.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−4.1,,−4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1850,3,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,239085,3995988,−107.897259,36.073511,"1,933.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1851,23,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,238164,3995173,−107.907205,36.065927,"1,945.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−3.1,,−3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1852,24a,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,233591,3995311,−107.957965,36.065927,"1,945.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−4.4,,−4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1853,26,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,239185,3995642,−107.896029,36.070424,"1,954.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1854,27,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,240504,3993200,−107.880595,36.048793,"1,950.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1855,30b,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,232946,3994662,−107.964889,36.059912,,,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1856,31,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,238164,3995173,−107.907205,36.065927,"1,935.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−6.0,,−6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1857,33,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,239024,3996069,−107.897962,36.074227,"1,925.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1858,34,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,239210,3994834,−107.895484,36.063153,"1,895.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1859,35,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,239240,3994921,−107.895185,36.063947,"1,896.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−2.7,,−2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1860,36,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,233152,3994696,−107.962616,36.060275,"1,876.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−1.4,,−1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1861,39,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,234501,3994216,−107.947501,36.056321,"1,872.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1862,40b,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,236364,3993059,−107.926451,36.046405,,,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−5.4,,−5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1863,43,,Modern,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Chaco Canyon,y,,,13S,233829,3993810,−107.954811,36.052482,"1,931.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1864,25,,Modern,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Chaco Canyon,y,,,13S,239267,3995347,−107.895020,36.067795,"1,890.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−0.2,,−0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1865,28,,Modern,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Chaco Canyon,y,,,13S,238350,3995392,−107.905205,36.067954,"1,950.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1866,29,,Modern,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Chaco Canyon,y,,,13S,241875,3988719,−107.863931,36.008808,"2,015.00",,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−0.0,,−0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1867,WRFS 2b,,Modern,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Chaco Canyon,y,,,13S,233742,3994350,−107.955957,36.057321,,,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1868,CCNHPb,,Modern,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Chaco Canyon,y,,,13S,234827,3993734,−107.943721,36.052069,,,,,,,,,,"Hamilton et al. 2017, Table 1",a: Specimen's latitude corrected to concurrently collected Specimen 23 due to transcription error; b: Specimens have approximate GPS coordinates and so were not included in elevation model calculations,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1869,125,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 4,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−4.6,,−4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1870,103,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1871,104,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−7.2,,−7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1872,105,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1873,124,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 4,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−4.8,,−4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1874,101,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1875,99,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−2.7,,−2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1876,102,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1877,40,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−1.7,,−1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1878,43,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1879,63,,Archaeological,O,Fauna,Tooth,,Enamel,Lagomorpha,,Lagomorph,Rabbit,Lagomorpha,Bc57,y,,Room 4,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−1.6,,−1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1880,31,,Archaeological,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−3.0,,−3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1881,37,,Archaeological,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−1.2,,−1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1882,33,,Archaeological,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1883,22,,Archaeological,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Bc57,y,,,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_1884,36,,Archaeological,O,Fauna,Tooth,,Enamel,Rodentia,,Rodent,Rodent,Rodentia,Bc57,y,,Room 9,,,,,,,,,,,,,,,"Hamilton et al. 2017, Table 2",,0.1M acetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
