Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Inst disc. (cfs),pH,HCO3 (mM/L),HCO3 (mg/L),NO3-N (mM/L),NO3-N (mg/L),PO4-P (mM/L),PO4-P (mg/L),Ca (mM/L),Ca (mg/L),Mg (mM/L),Mg (mg/L),Na (mM/L),Na (mg/L),K (mM/L),K (mg/L),Cl (mM/L),Cl (mg/L),SO4 (mM/L),SO4 (mg/L),Residue (mg/L),Cond. (dS/m),HCO3 (% of mM/L),HCO3 (% of mg/L),Cond.@FC (dS/m),TIC (%C),TOC (%C),NO3-N (mg/kg),TON (%)
80,Soils,MB08-1,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236558,3993668,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.93,,,,,,,,,,,,,,,,,,,,1.021,,,5.11,0.391,0.95,33,0.112
81,Soils,MB08-1,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236558,3993668,,,,100 to 106 ,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.41,,,,,,,,,,,,,,,,,,,,0.966,,,4.83,0.413,0.75,23.9,0.091
82,Soils,MB08-2,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236428,3993593,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.32,,,,,,,,,,,,,,,,,,,,0.383,,,1.91,0.251,0.49,1.38,0.034
83,Soils,MB08-2,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236428,3993593,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.94,,,,,,,,,,,,,,,,,,,,0.821,,,4.11,0.459,1.03,13.4,0.117
84,Soils,MB08-2,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236428,3993593,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.35,,,,,,,,,,,,,,,,,,,,0.694,,,3.47,0.499,0.53,3.48,0.049
85,Soils,MB08-2,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236428,3993593,,,,100 to 106 ,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.57,,,,,,,,,,,,,,,,,,,,0.594,,,2.97,0.336,0.2,7.92,0.017
86,Soils,MB08-3,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236228,3993440,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.9,,,,,,,,,,,,,,,,,,,,0.335,,,1.67,0.247,0.26,2.16,0.026
87,Soils,MB08-3,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236228,3993440,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.57,,,,,,,,,,,,,,,,,,,,0.318,,,1.59,0.281,0.33,2.3,0.028
88,Soils,MB08-3,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236228,3993440,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.5,,,,,,,,,,,,,,,,,,,,0.335,,,1.67,0.198,0.45,0.76,0.026
89,Soils,MB08-3,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236228,3993440,,,,100 to 106 ,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.61,,,,,,,,,,,,,,,,,,,,0.477,,,2.39,0.162,0.29,0.96,0.02
90,Soils,GW08-1,,Modern,Gallo Wash,,,Side valley soil sample,,13S,242421,3993387,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.77,,,,,,,,,,,,,,,,,,,,0.468,,,2.34,0.152,0.82,5.14,0.072
91,Soils,GW08-1,,Modern,Gallo Wash,,,Side valley soil sample,,13S,242421,3993387,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.21,,,,,,,,,,,,,,,,,,,,0.463,,,2.31,0.198,0.72,3.86,0.073
92,Soils,GW08-1,,Modern,Gallo Wash,,,Side valley soil sample,,13S,242421,3993387,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.63,,,,,,,,,,,,,,,,,,,,0.379,,,1.9,0.155,0.69,0.43,0.059
93,Soils,GW08-1,,Modern,Gallo Wash,,,Side valley soil sample,,13S,242421,3993387,,,,100 to 106 ,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.67,,,,,,,,,,,,,,,,,,,,0.387,,,1.93,0.117,0.43,0.9,0.039
94,Soils,GW08-2,,Modern,Gallo Wash,,,Side valley soil sample,,13S,241943,3993347,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.56,,,,,,,,,,,,,,,,,,,,0.777,,,3.89,0.231,1.04,5.91,0.103
95,Soils,GW08-2,,Modern,Gallo Wash,,,Side valley soil sample,,13S,241943,3993347,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.33,,,,,,,,,,,,,,,,,,,,0.742,,,3.71,0.184,0.66,1.74,0.065
96,Soils,GW08-3,,Modern,Gallo Wash,,,Side valley soil sample,,13S,240729,3992502,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.39,,,,,,,,,,,,,,,,,,,,0.751,,,3.76,0.158,1.5,22.3,0.148
97,Soils,GW08-3,,Modern,Gallo Wash,,,Side valley soil sample,,13S,240729,3992502,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.68,,,,,,,,,,,,,,,,,,,,0.361,,,1.8,0.144,0.43,4.87,0.045
98,Soils,GW08-3,,Modern,Gallo Wash,,,Side valley soil sample,,13S,240729,3992502,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.48,,,,,,,,,,,,,,,,,,,,0.487,,,2.43,0.2,0.96,9.63,0.086
99,Soils,GW08-3,,Modern,Gallo Wash,,,Side valley soil sample,,13S,240729,3992502,,,,100 to 106 ,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.54,,,,,,,,,,,,,,,,,,,,0.22,,,1.1,0.063,0.15,1.45,0.017
100,Soils,KK08-1,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,763573,3991321,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.45,,,,,,,,,,,,,,,,,,,,0.91,,,4.53,0.17,0.32,10.1,0.035
101,Soils,KK08-1,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,763573,3991321,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.88,,,,,,,,,,,,,,,,,,,,4.94,,,24.7,0.227,0.33,92.9,0.035
102,Soils,KK08-2,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,763910,3991593,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.44,,,,,,,,,,,,,,,,,,,,0.5,,,2.5,0.171,0.46,1.95,0.049
103,Soils,KK08-2,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,763910,3991593,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.63,,,,,,,,,,,,,,,,,,,,1.09,,,5.43,0.181,0.34,3.82,0.039
104,Soils,KK08-4,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,764261,3991857,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.79,,,,,,,,,,,,,,,,,,,,0.6,,,2.99,0.113,0.42,14.5,0.044
105,Soils,KK08-4,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,764261,3991857,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.53,,,,,,,,,,,,,,,,,,,,2.17,,,10.84,0.131,0.61,169,0.051
106,Soils,KK08-5,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,764239,3992093,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.09,,,,,,,,,,,,,,,,,,,,0.4,,,2.02,0.267,0.51,5.72,0.048
107,Soils,KK08-5,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,764239,3992093,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.13,,,,,,,,,,,,,,,,,,,,0.91,,,4.54,0.235,0.09,23.1,0.025
108,Soils,GB08-4,,Modern,Great Bend,,,Side valley soil sample,,12S,727643,4004940,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.22,,,,,,,,,,,,,,,,,,,,0.96,,,4.81,0.048,1.25,3.79,0.073
109,Soils,GB08-4,,Modern,Great Bend,,,Side valley soil sample,,12S,727643,4004940,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.14,,,,,,,,,,,,,,,,,,,,2.31,,,11.55,0.081,1.25,9.92,0.076
110,Soils,GB08-4,,Modern,Great Bend,,,Side valley soil sample,,12S,727643,4004940,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.95,,,,,,,,,,,,,,,,,,,,6.53,,,32.65,0.05,1.29,92,0.075
111,Soils,GB08-5,,Modern,Great Bend,,,Side valley soil sample,,12S,728891,4005084,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.92,,,,,,,,,,,,,,,,,,,,0.56,,,2.79,0.075,1.31,3.38,0.074
112,Soils,GB08-5,,Modern,Great Bend,,,Side valley soil sample,,12S,728891,4005084,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.22,,,,,,,,,,,,,,,,,,,,0.55,,,2.77,0.065,1.27,2.08,0.073
113,Soils,GB08-5,,Modern,Great Bend,,,Side valley soil sample,,12S,728891,4005084,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.95,,,,,,,,,,,,,,,,,,,,6.03,,,30.16,0.075,1.4,161,0.08
114,Soils,IC08-1,,Modern,Indian Creek,,,Side valley soil sample,,12S,737842,4000000,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.44,,,,,,,,,,,,,,,,,,,,8.77,,,43.85,0.102,0.24,3.71,0.021
115,Soils,IC08-1,,Modern,Indian Creek,,,Side valley soil sample,,12S,737842,4000000,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.31,,,,,,,,,,,,,,,,,,,,0.48,,,2.42,0.179,0.13,4.26,0.022
116,Soils,IC08-1,,Modern,Indian Creek,,,Side valley soil sample,,12S,737842,4000000,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.21,,,,,,,,,,,,,,,,,,,,2.51,,,12.53,0.151,0.33,2.07,0.021
117,Soils,CDR04-1,,Modern,Casa del Rio,,,Floodplain soil sample,,12S,762573,3998249,,,,50 to 55,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,1.2,,,6,,,,
118,Soils,CDR04-2,,Modern,Casa del Rio,,,Floodplain soil sample,,12S,762832,3997950,,,,50 to 55,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.35,,,1.75,,,,
119,Soils,CDR04-3,,Modern,Casa del Rio,,,Floodplain soil sample,,12S,762772,3997745,,,,50 to 55,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,3.83,,,19.15,,,,
120,Soils,CDR04-4,,Modern,Casa del Rio,,,Floodplain soil sample,,12S,764131,3995670,,,,50 to 55,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,4.8,,,24,,,,
121,Soils,CW371-04-1,,Modern,Chaco Wash,,@ HW 371,Floodplain soil sample,,12S,752926,3999894,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.3,,,1.5,,,,
122,Soils,GB04-1,,Modern,Great Bend,,,Floodplain soil sample,,12S,727046,4004855,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,2.44,,,12.2,,,,
123,Soils,GB04-2,,Modern,Great Bend,,,Floodplain soil sample,,12S,725178,4005576,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,2.02,,,10.1,,,,
124,Soils,ES04-1,,Modern,Escalon,,,Side valley soil sample,,12S,736928,4000890,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,8.11,,,40.55,,,,
125,Soils,ES04-2,,Modern,Escalon,,,Side valley soil sample,,12S,737206,4002189,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,2.85,,,14.25,,,,
126,Soils,KB04-1,,Modern,Kin Bineola,,,Side valley soil sample,,12S,757669,3987748,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,5.48,,,27.4,,,,
127,Soils,KB04-2,,Modern,Kin Bineola,,,Side valley soil sample,,12S,757663,3987602,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,4.96,,,24.8,,,,
128,Soils,KB04-3,,Modern,Kin Bineola,,,Side valley soil sample,,12S,757633,3987480,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,10.2,,,51,,,,
129,Soils,KBV04-1,,Modern,Kin Bineola Valley,,,Side valley soil sample,,12S,757222,3990342,,,,50 to 55,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.61,,,3.05,,,,
130,Soils,KK04-1,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,763797,3991159,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,2.4,,,12,,,,
131,Soils,KK04-2,,Modern,Kin Klizhin,,,Side valley soil sample,,12S,763995,3991388,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.2,,,1,,,,
132,Soils,WC04-1,,Modern,Willow Canyon,,,Side valley soil sample,,12S,732062,4002278,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,1.8,,,9,,,,
133,Soils,WC04-2,,Modern,Willow Canyon,,,Side valley soil sample,,12S,731985,4002361,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,1.71,,,8.55,,,,
134,Soils,CC#1,,Modern,Casa Chiquita,,,Floodplain soil sample,,12S,772601,3995237,,,,67 to 72,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,17.8,,,89,,,,
135,Soils,CK#1,,Modern,Chetro Ketl Field,,,Floodplain soil sample,,12S,774673,3994588,,,,5 to 10,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.9,,,4.5,,,,
136,Soils,CKF04-1,,Modern,Chetro Ketl Field,,,Floodplain soil sample,,12S,234268,3994198,,,,10 to 20,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,
137,Soils,CR#1,,Modern,Casa Rinconada,,,Floodplain soil sample,,12S,773816,3994289,,,,25 to 35,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,5.3,,,26.5,,,,
138,Soils,CR04-1,,Modern,Casa Rinconada,,,Floodplain soil sample,,12S,773816,3994289,,,,10 to 20,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,5.6,,,28,,,,
139,Soils,FB04-1,,Modern,Fajada Butte,,,Floodplain soil sample,,12S,778168,3990671,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,1.08,,,5.4,,,,
140,Soils,FB04-2,,Modern,Fajada Butte,,,Floodplain soil sample,,12S,778101,3990753,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,1.12,,,5.6,,,,
141,Soils,LH#1,,Modern,Lizard House,,,Floodplain soil sample,,12S,774970,3994402,,,,25 to 30,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,3.29,,,16.45,,,,
142,Soils,PDA#4,,Modern,Pueblo del Arroyo,,,Floodplain soil sample,,12S,773188,3994969,,,,15 to 25,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,15,,,75,,,,
143,Soils,PDA#5,,Modern,Pueblo del Arroyo,,,Floodplain soil sample,,12S,773158,3994925,,,,0 to 3,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.5,,,2.5,,,,
144,Soils,S10#1,,Modern,Penasco Blanco Field,,,Floodplain soil sample,,12S,771485,3996044,,,,25 to 35,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,5.05,,,25.25,,,,
145,Soils,WER#1,,Modern,Weritos Rincon,,,Floodplain soil sample,,12S,775694,3993419,,,,25 to 35,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.5,,,3.33,,,,
146,Soils,WER#2,,Modern,Weritos Rincon,,,Floodplain soil sample,,12S,775694,3993419,,,,55 to 65,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.5,,,3.33,,,,
147,Soils,WER#3,,Modern,Weritos Rincon,,,Floodplain soil sample,,12S,775694,3993419,,,,85 to 95,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.7,,,4.67,,,,
148,Soils,WR#1,,Modern,Weritos Rincon,,,Floodplain soil sample,,12S,775710,3993536,,,,0 to 10,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,1.1,,,7.33,,,,
149,Soils,WR#2,,Modern,Weritos Rincon,,,Floodplain soil sample,,12S,775651,3993412,,,,0 to 10,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.6,,,4,,,,
150,Soils,CC04-1,,Modern,Clys Canyon,,,Side valley soil sample,,12S,772738,3995822,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.4,,,2,,,,
151,Soils,GW04-1,,Modern,Gallo Wash,,,Side valley soil sample,,12S,782121,3993794,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.9,,,4.5,,,,
152,Soils,GW04-2,,Modern,Gallo Wash,,,Side valley soil sample,,12S,781016,3992867,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.5,,,2.5,,,,
153,Soils,GW04-3,,Modern,Gallo Wash,,,Side valley soil sample,,12S,781056,3992821,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.52,,,2.6,,,,
154,Soils,MC04-1,,Modern,Mockingbird Canyon,,,Side valley soil sample,,12S,777227,3993962,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,1.2,,,6,,,,
155,Soils,MC04-2,,Modern,Mockingbird Canyon,,,Side valley soil sample,,12S,777075,3993897,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,4,,,20,,,,
156,Soils,SG04-1,,Modern,South Gap,,,Side valley soil sample,,12S,772784,3993144,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,8.16,,,40.8,,,,
157,Soils,SG04-2,,Modern,South Gap,,,Side valley soil sample,,12S,772898,3993453,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.5,,,2.5,,,,
158,Soils,SG04-3,,Modern,South Gap,,,Side valley soil sample,,12S,773006,3993777,,,,45 to 50,,,"Benson 2016, Table 4, Pg.464","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,,,,,,,,,,,,,,,,,,,,,0.7,,,3.5,,,,
159,Soils,SS08-1,,Modern,Skunk Springs,,,Chuska soil samples,,12S,701983,4012042,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.25,,,,,,,,,,,,,,,,,,,,0.551,,,2.757,,,27,
160,Soils,SS08-1,,Modern,Skunk Springs,,,Chuska soil samples,,12S,701983,4012042,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.22,,,,,,,,,,,,,,,,,,,,0.35,,,1.751,,,5.88,
161,Soils,SS08-1,,Modern,Skunk Springs,,,Chuska soil samples,,12S,701983,4012042,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.51,,,,,,,,,,,,,,,,,,,,0.413,,,2.063,,,5.24,
162,Soils,SS08-2,,Modern,Skunk Springs,,,Chuska soil samples,,12S,702664,4012172,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.2,,,,,,,,,,,,,,,,,,,,0.509,,,2.544,,,4.87,
163,Soils,SS08-2,,Modern,Skunk Springs,,,Chuska soil samples,,12S,702664,4012172,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,8.04,,,,,,,,,,,,,,,,,,,,0.509,,,2.544,,,1.41,
164,Soils,SS08-2,,Modern,Skunk Springs,,,Chuska soil samples,,12S,702664,4012172,,,,70 to 76,,,"Benson 2016, Table 7, Pg.469",,,,8.26,,,,,,,,,,,,,,,,,,,,0.44,,,2.202,,,1.8,
165,Soils,TGHBM08-1,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,695085,4010788,,,,10 to 16,,,"Benson 2016, Table 7, Pg.469",,,,8.93,,,,,,,,,,,,,,,,,,,,1.158,,,5.791,,,1.82,
166,Soils,TGHBM08-1,,Modern,Two Grey Hills,,,Chuska soil samples,,12S,695085,4010788,,,,40 to 46,,,"Benson 2016, Table 7, Pg.469",,,,9.27,,,,,,,,,,,,,,,,,,,,9.065,,,45.3,,,2.11,
