KeyID,Element,Specimen no.,Class,Taxon,Bone apatite sample?,Well #,Weight (mg),Enamel sample?,Well #,Weight,Collagen sample ID#,Collagen sample? ,%N.Collagen,%C.Collagen,C:N.Collagen,d15N.Collagen,d13C.Collagen,d13C.Bone,d18O.Bone,d13C.Enamel,d18O.Enamel,Linked ID nos,FS No.,Northing,Easting,Provenience notes,Portion,Side,Age,Weathering score,Condition notes,Specimen notes,C:N.Collagen,d15N.Collagen,d13C.Collagen,d13C.Bone,d18O.Bone,d13C.Enamel,d18O.Enamel
34D,Metatarsal,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","the proximal epiphysis is present along with the shaft, but distal epiphysis is not fused or present",right,"sub-adult, juvenile",2,"cracking is present along the shaft and distal epiphysis, large amount of flaking along the cracks.","Due to the lack of fusing on the distal end of the epiphysis and the lack of its presence, I believe this is a juvenile to sub-adult.",,,,,,,
34F,Metatarsal,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","the proximal epiphysis is present along with the shaft, but distal epiphysis is not fused or present",left,"sub-adult, juvenile",2,"cracking is present and abundant along the shaft and distal epiphysis, severe amount of flaking along the cracks.","Due to the lack of fusing on the distal end of the epiphysis and the lack of its presence, I believe this is a juvenile to sub-adult.",,,,,,,
34G,Phalanx prima,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","the distal end of the epiphysis is intact and present, the proximal end of the epiphysis is miss because it was not fused.",right or left,"sub-adult, juvenile",0 to 1,"only cracking on the proximal end of the epiphysis, otherwise in good condition.","specimen has some discoloration but is otherwise in good condition, due to small size and matching with comparative collections, I believe the Lepus in (34) is part of the same specimen. Due to the smallness and lack of comparative research, I cannot say if it is right or left.",,,,,,,
34H,Distal epiphysis of Femur,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",Distal epiphysis of Femur only present,right,"sub-adult, juvenile",0 to 1,small amount of cracking visible in-between the condyles,"unfused distal end of right femur, due to the lack of fusing and the size, again, I think it is a juvenile to sub-adult",,,,,,,
34I,Humerus,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","proximal end is present and attached to the shaft,  but missing the distal epiphysis and it is not present in the assemblage.",left,"sub-adult, juvenile",2,"many visible cracks along the shaft of the bone and the proximal epiphysis, flaking all over the bone","specimen is mostly intact except for missing distal epiphysis, also indicating it is most likely part of the same specimen as the other Lepus (34) and a juvenile or sub-adult.",,,,,,,
34J,Fibula,34,Mammalia,Lepus sp.,Tibia shaft,2,6.6,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","mostly intact, however missing the proximal and distal epiphysis",right,"sub-adult, juvenile",2,bone is cracking along the shaft extremely and on the epiphyses as well but not as extreme. Flaking on both epiphyses also. ,"The small size of the fibula makes it seem ""large cottontail"" ish, but the foramena is present on element and comparative collection for ""jackrabbit,"" along with the unfused epiphyses, juvenile or sub-adult.",,,,,,,
34K,Radius,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","mostly intact, however missing the proximal and distal epiphyses",Left,"sub-adult, juvenile",1 to 2,"mostly intact, however missing the proximal and distal epiphysises","specimen is mostly intact except for missing distal epiphysis, also indicating it is most likely part of the same specimen as the other Lepus (34) and a juvenile or sub-adult.",,,,,,,
34L,Scapula,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","element is largely intact, except for a break in the caudal border and a missing piece of the glenoid cavity and coracoid process.",Left,"sub-adult, juvenile",1 to 2,"cracking all along the bone, flaking only near the proximal epiphysis","Scapula is smaller than comparative collection, but has the coracoid process attached, but visible that it is not fully fused, most likely juvenile to sub-adult and same specimen as (34) Lepus.",,,,,,,
34M,Illium,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",only the proximal end with a portion of the socket is present.,right,"sub-adult, juvenile",1 to 2,a few cracks and some flaking near the cracks and edges of the bone,"Overall in good condition, small size and presence of unfused ilium suggests juvenile to sub-adult",,,,,,,
34N,Lower Rib,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",intact element,Right,"sub-adult, juvenile",1 to 2, cracking and flaking along the shaft and distal end of the rib. ,"Element is in good condition, is approximately the same size as the ""cottontail"" lower rib, but thicker, indicating to me it would be Lepus, most likely same specimen as the other Lepus (34)",,,,,,,
34O,Upper Rib,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",intact element,right,"sub-adult, juvenile",1 to 2,"cracking is visible and flaking is visible along the cracks, otherwise intact","Besides weathering, element is in good condition",,,,,,,
34P,Middle Rib (larger),34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",intact element,left,"sub-adult, juvenile",1,"some cracking is visible, no flaking is visible",rib has some discoloration but otherwise in great condition,,,,,,,
34Q,Middle Rib (smaller),34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",intact element,left,"sub-adult, juvenile",1 to 2,"cracking is visible, some flaking is visible, but not much. ","Besides the erosion on the distal and proximal ends of the bone and the cracks, in good condition and due to the size, most likely lepus over ""cottontail""",,,,,,,
34R,"Vertebrae- Lumbar (2- ""cap"" or ""kidney bean"" attachment)",34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",Intact element,n/a,"sub-adult, juvenile",1 to 2,cracking is visible and flaking along the major cracks,"Slightly smaller than Lepus comparative, also unfused, most likely same specimen as Lepus (34) and juvenile to sub-adult, refit with ""cap"" of vertebrae ",,,,,,,
34S,Vertebrae- Cervical ,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",intact element,n/a,"sub-adult, juvenile",0,no cracks or flaking,"Vertebrae has not fully fused, indicating juvenile or sub-adult.",,,,,,,
34T,Vertebrae- Cervical ,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","most of element is intact, except at ends",n/a,"sub-adult, juvenile",1,"some cracking is present, but not very noticeable","vertebrae is unfused, indicating juvenile to sub-adult",,,,,,,
34U,Vertebrae- Thoracic?,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",element intact,n/a,"sub-adult, juvenile",0,no cracks or flaking,"Since element is unfused and possibly a juvenile or sub-adult, it is hard to tell what specific bone it is in the vertebrae",,,,,,,
34V,Cranial- Occipital Condyle,34,Mammalia,Lepus sp.,,,,,,,CC34,Cranial bone,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",element intact,left,"sub-adult, juvenile",0,no cracks or flaking,element is unfused or broken off from cranium,,,,,,,
34W,teeth,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","Mandible is missing (M3) (M2) (P4), could be any of those possible teeth ",right,"sub-adult, juvenile",?,"There are not cracks or flaking present, but teeth are falling apart if touched too much. ","Piece of (34A) broke off and loosened the teeth/ some fell out, but should be from the same specimen. ",,,,,,,
34X,14 pieces of teeth,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","little bits of teeth, various sizes",unknown,sub-adult to adult,?,"Little broken bits of teeth, very fragile","Various teeth and various sizes, may be from (34A), but may be from another specimen",,,,,,,
34Y,Vertebrae- piece of cervical,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",front piece on a vertebrae,n/a,"sub-adult, juvenile",0,no noticeable cuts or flaking,"unfused section of vertebrae, most likely form a sub-adult or juvenile, most likely related to (34A) Lepus specimen",,,,,,,
34Z,unfused proximal epiphysis of phalange,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",proximal epiphysis of Metapodial,unknown,"sub-adult, juvenile",0,no noticeable cuts or flaking,"unfused section of a metapodial, most likely form a sub-adult or juvenile, most likely related to (34A) Lepus specimen",,,,,,,
35,"""Multiple""",35,Mammalia,,,,,,,,CC35,Mandibular bone,15.9,43,2.7,6.7,-16.6,-9.2,-3.7,-7.4,-2.7,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),,,,,,,,,,,,,
35A,Mandibles (2) Unattached,35,Mammalia,Lepus sp.,Mandible,78,3,,,,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),"Right Side: incisor with most of the body attached, (M1) (P4) (P3) attached. Left: incisor attached to front section of the body until the start of (P3), no teeth attached. ",n/a,sub-adult,1,"can see the formation of cracks, but cracks have not fully penetrated either bone, some flaking","due to the size of the mandibles and the ware of the teeth, probably adult, at least sub-adult.",,,,,,,
35B,Maxilla with 4 incisors attached,35,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),(4) incisors attached to beginning of maxilla,n/a,sub-adult,1 to 2,"some cracking and minimal flaking around a few of the ""larger"" cracks.","beginning of maxilla is intact with incisors, sutures not fully fused, most likely sub-adult could possibly be same specimen as (35A)",,,,,,,
35C,Piece of Maxilla,35,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),small piece of the maxilla with (P2) (P3) (P4) attached and intact,left,sub-adult,1 to 2,some cracks visible with marginal tooth flaking,"teeth are not very worn down, sutures are visible and unfused, indicating sub-adult, probably from same specimen as (35A)",,,,,,,
35D,Section of Mandible with (M3) attached,35,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14)," Section of Mandible with (M3) attached, only a small section of the ascending ramus is intact",left,sub-adult,1,"some cracking visible/ beginning to form, no flaking visible, however almost all the teeth have fallen out","Only (M3) is present and erupted, some strange bone growth is noticeable, due to size and molar eruption possibly subadult, possibly part of (35A), which would make that specimen a sub-adult vs. the juvenile or adult.",,,,,,,
35E,Cranial- Occipital Condyle,35,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),"small section of the cranium, the occipital condyle and surrounding bone",right,sub-adult,1,"some cracking is forming around the condyle, but not much flaking","many suture lines are present, but not fully fused, indicating it is a younger specimen, sub-adult possibly, also possibly same specimen as (35A)",,,,,,,
35F,Maxilla (small piece with (M3) attached),35,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),small section of cranium attached to maxilla and (M3), right,sub-adult,1,small amount cracking or flaking,"(M3) is attached and erupted, but not worn down much, and the lack of fusing signifies a younger specimen, possibly sub-adult due to eruption but not fully fusing, also possibly same specimen as (35A)",,,,,,,
35G,Atlas- A1 Vertebrae,35,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),"almost fully intact, missing left and right ends of wings",n/a,sub-adult,1 to 2,"some cracking is visible and some flaking near those cracks, not many","due to the size and comparative collections, it is possibly from the same specimen as (35A) and is Lepus",,,,,,,
35H,tooth from maxilla,35,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),fully intact except for the proximal end is cracking/flaking,left,sub-adult to adult,1 to 2,some cracking along the shaft and minimal flaking and cracking at the proximal end of the tooth," tooth has some wear but not overly worn, still smaller in size than comparative Lepus but larger than ""Cottontail"", probably sub-adult.",,,,,,,
35I,various pieces of teeth,35,Mammalia,Lepus sp.,,,,Molars,43,14.9,,,,,,,,,,,,Chaco Culture NHP,,3994921.5,239240.4,Elev.= 1896 m (5/24/14),Small bits of teeth,n/a,,,,,,,,,,,
36,"""Multiple""",36,Mammalia,,,,,,,,,,,,,,,-9.8,-2.5,-11.1,-1.4,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",,,,,,,,,,,,,
36A,Cranium,36,Mammalia,Sylvilagus sp.,,,,Molar M2,1,6.2,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter","Almost fully intact, missing (right): (lower incisor) (P2) (P3) (M3), and (left): (M3)",Middle,juvenile to sub-adult,0,no cracking or flaking present,"due to the lack of fussing present on the sutures, how small the element is compared to the comparative collections, and how ""not worn down"" the teeth are indicates this is either a juvenile or sub-adult. (Most of missing teeth are accounted for in the bag, may have fallen out in transportation)",,,,,,,
36B,Mandible,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter","Mostly intact, missing piece of the mandibular fossa, all teeth are intact",left,juvenile to sub-adult,0,no cracking or flaking present,"all teeth present are erupted, however not very worn down, refits with (36C) ",,,,,,,
36C,Mandible,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter","Mostly intact, missing piece of the mandibular fossa, only tooth missing is (M3) ",right,juvenile to sub-adult,0,no cracking or flaking present,"almost all the teeth are present and erupted (except M3), however not very worn down, refits with (36B) ",,,,,,,
36D,Femur,36,Mammalia,Sylvilagus sp.,,,,,,,CC36,Femur shaft ,15.3,42.7,2.8,13.8,-16.8,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0,"no cracking or flaking present, root etching visible on proximal epiphysis and on proximal end of shaft ","element is very small, but has similar foramen to lepus comparative collection and morphology.",,,,,,,
36E,Femur,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but has similar forenum (vien hole) to lepus comparative collection and morphology. teeth/bite marks visible on the upper part of the shaft, and near the proximal epiphysis.",,,,,,,
36F,Humerus,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but has similar foramen to lepus comparative collection and morphology.",,,,,,,
36G,Humerus,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but has similar foramen to lepus comparative collection and morphology.",,,,,,,
36H,Tibia with fibula attached,36,Mammalia,Sylvilagus sp.,Tibia shaft,73,4.1,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,right,juvenile to sub-adult,0,"no cracking or flaking present, root etching visible ","Element is very small, but has similar foramen to lepus comparative collection and morphology. Possible root etching marks are visible along the shaft and proximal epiphysis",,,,,,,
36I,Tibia with fibula attached,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,left,juvenile to sub-adult,0 to 1,"minimal cracking  is visible along the shaft, flaking is not present","element is very small, but has similar foramen to lepus comparative collection and morphology.",,,,,,,
36J,Ulna,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,left,juvenile to sub-adult,0 to 1,"minimal cracking  is visible along the shaft, flaking is not present","element is very small, but is morphologically similar to lepus in the  comparative collection, some possible root etching marks along the shaft as well. ",,,,,,,
36K,Ulna,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but is morphologically similar to lepus in the  comparative collection, some possible root etching marks along the shaft as well. ",,,,,,,
36L,Radius,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but is morphologically similar to lepus in the  comparative collection.",,,,,,,
36M,Radius,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but is morphologically similar to lepus in the  comparative collection.",,,,,,,
36N,Pelvis,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Right,juvenile to sub-adult,0 to 1,"no cracking or flaking present, but root etching is present on the distal end ","element is very small, but is similar to lepus comparative collection and morphology.",,,,,,,
36O,Pelvis,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,left,juvenile to sub-adult,0 to 1,"no cracking or flaking present, but root etching is present on the distal end ","element is very small, but is similar to lepus comparative collection and morphology.",,,,,,,
36P,Scapula,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,right,juvenile to sub-adult,0,"no cracking or flaking present, weird spotted discoloration","element is very small, but is similar to lepus comparative collection and morphology.",,,,,,,
36Q,Scapula (2 pieces),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology. In transportation a piece broke off, but it refits with left scapula",,,,,,,
36R,Metatarsal (Metapodial),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36S,Metatarsal (Metapodial),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,left,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36T,Metatarsal (Metapodial),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36U,Metatarsal (Metapodial),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,right,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36V,1st Phalange,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Unknown,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36W,3rd Phalange,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,Unknown,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36X,Vertebral- Atlas,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36Y,Vertebral- Axis,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36Z,Vertebral- cervical,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AA,Vertebral- cervical,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AB,Vertebral- cervical,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AC,Vertebral- cervical,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AD,Vertebral- cervical,36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AE,Vertebra- Thoracic (shortest spinous process),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
36AF,Vertebra- Thoracic (2nd shortest spinous process),36,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994697,233153,"13 S (WGS 84) Elev.= 1876 m, 29SJ387- Wetherill (Well (F1) NE Trench Clean-up, found between sandbags (June 14, 2012) N. Hostetter",intact,n/a,juvenile to sub-adult,0,no cracking or flaking present,"element is very small, but similar to lepus comparative collection and morphology.",,,,,,,
